positionId,positionName,companyFullName,companySize,industryField,financeStage,createTime,city,salary,workYear,jobNature,education
6868951,python后端开发工程师,上海九鞅科技有限公司,15-50人,金融 数据服务,不需要融资,2020-04-07 22:31:00,上海,8k-16k,1-3年,全职,本科
6413833,高级Python开发工程师,建信金融科技有限责任公司,2000人以上,金融 软件开发,不需要融资,2020-04-07 22:19:12,北京,20k-40k,3-5年,全职,本科
6877483,python,奥解思信息科技（上海）有限公司,500-2000人,金融,上市公司,2020-04-07 22:18:45,上海,15k-22k,3-5年,全职,本科
6918994,python后端开发工程师,在线途游（北京）科技有限公司,150-500人,移动互联网 游戏,B轮,2020-04-07 22:16:21,北京,20k-40k,3-5年,全职,本科
6726430,python工程师,深圳市搜电科技发展有限公司,150-500人,移动互联网 硬件,不需要融资,2020-04-07 22:13:06,深圳,15k-20k,3-5年,全职,本科
6836537,python数据开发工程师,北京能量盒科技有限公司上海分公司,500-2000人,游戏,B轮,2020-04-07 22:10:27,北京,15k-25k,1-3年,全职,本科
6946833,python,易宝软件科技（南京）有限公司,150-500人,移动互联网,上市公司,2020-04-07 22:04:11,南京,10k-20k,3-5年,全职,本科
6149940,Python开发工程师（研发效率方向）,北京字节跳动科技有限公司,2000人以上,文娱丨内容,C轮,2020-04-07 22:03:03,上海,25k-50k,3-5年,全职,本科
6849245,Python大数据开发实习生（2021春招）,上海莉莉丝科技股份有限公司,500-2000人,移动互联网 游戏,不需要融资,2020-04-07 21:58:32,上海,6k-8k,应届毕业生,全职,本科
6850439,python开发工程师,深圳市橙智科技有限公司,50-150人,移动互联网,不需要融资,2020-04-07 21:58:12,深圳,15k-30k,1-3年,全职,本科
5857710,python后端开发工程师,深圳开思时代科技有限公司,500-2000人,移动互联网 电商,C轮,2020-04-07 21:57:59,深圳,20k-30k,5-10年,全职,本科
6578063,高级 Python 工程师,爱客科技（深圳）有限公司,50-150人,电商,不需要融资,2020-04-07 21:55:27,深圳,25k-35k,5-10年,全职,本科
6767405,Python后端开发工程师SH,通联数据股份公司,500-2000人,金融,不需要融资,2020-04-07 21:54:43,上海,10k-20k,1-3年,全职,本科
4909121,高级python研发工程师,北京源清慧虹信息科技有限公司,50-150人,信息安全 数据服务,B轮,2020-04-07 21:49:47,北京,20k-30k,3-5年,全职,本科
6931484,python开发工程师（安全方向）,上海喜马拉雅科技有限公司,2000人以上,移动互联网 文娱丨内容,D轮及以上,2020-04-07 21:46:39,上海,20k-35k,3-5年,全职,本科
6797849,python开发工程师G00322,上海谷露软件有限公司,50-150人,数据服务 企业服务,A轮,2020-04-07 20:59:06,上海,20k-40k,不限,全职,本科
6903543,python后端,易宝软件科技（南京）有限公司,150-500人,移动互联网,上市公司,2020-04-07 21:59:47,西安,10k-20k,1-3年,全职,本科
5617112,python后端工程师,浙江天垂科技有限公司,15-50人,数据服务 企业服务,天使轮,2020-04-07 21:43:13,杭州,15k-30k,不限,全职,本科
6956770,资深开发工程师&amp;技术专家（GO/Python）,上海基分文化传播有限公司,500-2000人,文娱丨内容,上市公司,2020-04-07 21:33:18,北京,25k-50k,3-5年,全职,本科
6375880,Python开发工程师,北京金堤科技有限公司,150-500人,数据服务,不需要融资,2020-04-07 21:32:03,北京,15k-25k,3-5年,全职,本科
6943398,Python开发工程师,杭州兑吧网络科技有限公司,500-2000人,移动互联网,上市公司,2020-04-07 21:30:46,杭州,15k-25k,3-5年,全职,本科
6531220,python后端工程师,上海众言网络科技有限公司,150-500人,移动互联网,C轮,2020-04-07 21:27:11,上海,12k-18k,3-5年,全职,本科
6931554,西安子公司- Python 后台开发工程师,腾讯科技（深圳）有限公司,2000人以上,社交,上市公司,2020-04-07 21:26:16,西安,20k-30k,3-5年,全职,本科
6565264,Python后端高级开发工程师-抖音/火山,北京字节跳动科技有限公司,2000人以上,文娱丨内容,C轮,2020-04-07 21:25:34,北京,20k-40k,1-3年,全职,本科
3830574,python开发工程师,广州游爱网络技术有限公司,500-2000人,移动互联网 游戏,上市公司,2020-04-07 21:16:37,广州,10k-14k,1-3年,全职,大专
6403486,Python开发工程师,华控清交信息科技（北京）有限公司,50-150人,数据服务,A轮,2020-04-07 21:07:46,北京,20k-40k,3-5年,全职,本科
6904720,python 开发工程师 （业务风控）,北京智者天下科技有限公司,500-2000人,社交,D轮及以上,2020-04-07 21:04:13,北京,15k-30k,不限,全职,本科
6310363,python web开发主管,嘉兴构美信息技术有限公司,150-500人,电商,天使轮,2020-04-07 21:03:42,杭州,20k-35k,5-10年,全职,本科
6807320,Python研发工程师,北京神州绿盟信息安全科技股份有限公司,500-2000人,信息安全,上市公司,2020-04-07 21:02:24,北京,13k-25k,3-5年,全职,本科
5734749,Python中级开发工程师,北京快快网络技术有限公司,500-2000人,金融,B轮,2020-04-07 21:01:26,北京,20k-25k,不限,全职,本科
6951634,python开发工程师,易宝软件科技（南京）有限公司,150-500人,移动互联网,上市公司,2020-04-07 21:59:47,杭州,10k-20k,1-3年,全职,本科
6316569,高级python后端开发工程师,上海众言网络科技有限公司,150-500人,移动互联网,C轮,2020-04-07 21:27:11,上海,20k-35k,5-10年,全职,本科
6902935,python开发实习生G00328,上海谷露软件有限公司,50-150人,数据服务 企业服务,A轮,2020-04-07 20:59:05,上海,3k-6k,不限,全职,本科
6952844,研发工程师--Python开发方向（应届生）,深圳市前海房极客网络科技有限公司,150-500人,移动互联网 企业服务,B轮,2020-04-07 20:55:22,深圳,7k-9k,应届毕业生,全职,本科
6884005,python开发,华为技术有限公司,2000人以上,通讯电子,不需要融资,2020-04-07 20:54:50,杭州,15k-25k,3-5年,全职,本科
6806565,python开发工程师,上海微创软件股份有限公司,2000人以上,企业服务 移动互联网,不需要融资,2020-04-07 20:54:01,上海,17k-23k,3-5年,全职,不限
4120370,Python高级开发工程师,深圳市明源云客电子商务有限公司,2000人以上,电商,上市公司,2020-04-07 20:52:06,深圳,15k-30k,3-5年,全职,本科
2688021,高级Python后端研发工程师,上海斗象信息科技有限公司,150-500人,信息安全,C轮,2020-04-07 20:50:29,上海,10k-15k,1-3年,全职,本科
6690838,Python下单机器人工程师（Selenium方向,上海别样秀数据科技有限公司,150-500人,移动互联网 电商,B轮,2020-04-07 20:47:07,上海,10k-20k,3-5年,全职,本科
6741970,Python后台开发,深圳云天励飞技术有限公司,500-2000人,人工智能,B轮,2020-04-07 20:46:46,深圳,12k-24k,3-5年,全职,本科
3869044,Python技术经理,北京音悦荚科技有限责任公司,50-150人,移动互联网 教育,A轮,2020-04-07 20:46:31,北京,15k-30k,3-5年,全职,本科
6878149,python开发工程师,北京云英传奇技术有限公司,50-150人,移动互联网 数据服务,A轮,2020-04-07 20:46:17,北京,15k-25k,1-3年,全职,本科
6945780,高级python开发工程师,在线途游（北京）科技有限公司,150-500人,移动互联网 游戏,B轮,2020-04-07 20:42:18,北京,20k-40k,3-5年,全职,本科
6778439,Python后台工程师,翼果（深圳）科技有限公司,50-150人,大数据 互联网 移动互联网,不需要融资,2020-04-07 20:41:46,深圳,10k-20k,1-3年,全职,本科
6518563,大数据基础架构工程师（python）,爱笔（北京）智能科技有限公司,150-500人,移动互联网 企业服务,A轮,2020-04-07 20:40:48,北京,17k-34k,3-5年,全职,本科
6933753,Python开发（系统性能工具开发工程师）,易宝软件科技（南京）有限公司,150-500人,移动互联网,上市公司,2020-04-07 21:19:41,杭州,12k-24k,1-3年,全职,本科
6545101,Python高级工程师,深圳市前海房极客网络科技有限公司,150-500人,移动互联网 企业服务,B轮,2020-04-07 20:55:21,深圳,10k-20k,3-5年,全职,本科
4151825,Python爬虫工程师(Selenium方向),上海别样秀数据科技有限公司,150-500人,移动互联网 电商,B轮,2020-04-07 20:47:07,上海,10k-20k,不限,全职,本科
2716101,后台开发工程师（Python / Java）,翼果（深圳）科技有限公司,50-150人,大数据 互联网 移动互联网,不需要融资,2020-04-07 20:41:46,深圳,8k-15k,不限,全职,本科
6862505,Python开发工程师-人脸平台,爱笔（北京）智能科技有限公司,150-500人,移动互联网 企业服务,A轮,2020-04-07 20:40:46,北京,20k-40k,3-5年,全职,本科
5924855,高级python开发工程师,北京国研网信息股份有限公司,150-500人,企业服务 数据服务,上市公司,2020-04-07 20:34:42,北京,22k-27k,3-5年,全职,硕士
6438589,python服务端开发工程师,网易（杭州）网络有限公司,2000人以上,电商,上市公司,2020-04-07 20:32:30,广州,15k-30k,不限,全职,本科
6978623,python开发工程师,便利蜂商贸有限公司,2000人以上,消费生活,不需要融资,2020-04-07 20:32:18,北京,20k-40k,3-5年,全职,本科
6955857,资深python,武汉佰钧成技术有限责任公司,2000人以上,移动互联网,不需要融资,2020-04-07 20:31:40,北京,12k-21k,5-10年,全职,本科
5667224,后台开发（C++/go/PHP/python）,四川伊澳农业科技有限公司,2000人以上,移动互联网 电商,上市公司,2020-04-07 20:29:44,北京,30k-50k,3-5年,全职,本科
6828571,高级Python开发工程师,西安华为技术有限公司,2000人以上,数据服务 硬件,不需要融资,2020-04-07 20:29:04,西安,12k-24k,1-3年,全职,本科
6778769,Python开发工程师-安全方向,北京字节跳动科技有限公司,2000人以上,文娱丨内容,C轮,2020-04-07 20:27:43,北京,20k-40k,1-3年,全职,本科
6197414,python开发工程师,深圳市圆代码互联网有限公司,少于15人,移动互联网,天使轮,2020-04-07 20:27:35,深圳,10k-20k,1-3年,全职,硕士
